
|           | Observed| Chao1| se.chao1| ACE|    se.ACE|  Shannon|   Simpson| InvSimpson|    Fisher|
|:----------|--------:|-----:|--------:|---:|---------:|--------:|---------:|----------:|---------:|
|Plate3.A1  |       14|    14|        0|  14|  1.535299| 2.166384| 0.8371333|   6.139992|  2.695400|
|Plate3.A10 |       45|    45|        0|  45|  2.683282| 2.957556| 0.9149052|  11.751604|  6.660392|
|Plate3.A11 |       57|    57|        0|  57|  2.979462| 2.781332| 0.8828027|   8.532619|  7.583775|
|Plate3.A12 |       29|    29|        0|  29|  2.652260| 1.997054| 0.8318164|   5.945882|  3.531696|
|Plate3.A2  |       20|    20|        0|  20|  2.190890| 2.261651| 0.8545123|   6.873435|  3.646579|
|Plate3.A3  |       18|    18|        0|  18|  2.068279| 2.358210| 0.8611441|   7.201710|  4.220932|
|Plate3.A4  |       17|    17|        0|  17|  2.029199| 2.153185| 0.8530853|   6.806671|  3.063808|
|Plate3.A5  |       59|    59|        0|  59|  3.267716| 3.034086| 0.9198966|  12.483865|  8.511519|
|Plate3.A6  |       31|    31|        0|  31|  2.327951| 2.237560| 0.8477167|   6.566707|  3.799015|
|Plate3.A7  |       28|    28|        0|  28|  2.584293| 2.426598| 0.8557934|   6.934496|  4.743887|
|Plate3.A8  |       47|    47|        0|  47|  2.113784| 3.163017| 0.9297072|  14.226210|  6.818654|
|Plate3.A9  |       23|    23|        0|  23|  2.340568| 1.918862| 0.8080626|   5.210033|  2.764777|
|Plate3.B1  |       25|    25|        0|  25|  2.244994| 2.245621| 0.8017281|   5.043580|  4.374290|
|Plate3.B10 |       38|    38|        0|  38|  1.662275| 2.696275| 0.8931825|   9.361765|  5.141845|
|Plate3.B11 |       54|    54|        0|  54|  2.468318| 2.887249| 0.8945212|   9.480577|  7.460345|
|Plate3.B12 |       27|    27|        0|  27|  2.449490| 2.042633| 0.8203154|   5.565308|  3.352480|
|Plate3.B2  |       38|    38|        0|  38|  2.795673| 2.458911| 0.8282666|   5.822978|  5.929093|
|Plate3.B3  |       51|    51|        0|  51|  3.029269| 2.630342| 0.8270857|   5.783211|  7.748024|
|Plate3.B4  |       49|    49|        0|  49|  2.920721| 2.707668| 0.8968336|   9.693082|  6.491309|
|Plate3.B5  |       60|    60|        0|  60|  2.997221| 2.983784| 0.9176549|  12.144018|  8.061675|
|Plate3.B6  |       38|    38|        0|  38|  2.924488| 2.238303| 0.8470101|   6.536381|  4.596451|
|Plate3.B7  |       32|    32|        0|  32|  1.369306| 2.439400| 0.8433212|   6.382484|  4.533629|
